State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9609532979011741	0.03321106630688323	0.0014241498205191435	0.0	0.0	0.0	0.0	5.69839410954086E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.004354502030327957
2	0.004324582636667981	0.9809399308526674	0.005588234049463498	0.0	5.855053103891102E-4	0.0	0.0	0.00687620059554621	0.0	1.1834894253820878E-4	1.0049017626281296E-4	1.6416257203523128E-6	1.9684957584532494E-6	5.089308458121536E-4	9.541664691739516E-4
3	0.0022208490012883306	0.06836206364649906	0.9212638072442074	0.00497393440337366	0.0	0.0	0.0	0.0019234165897473257	2.372129323928379E-4	1.6372695216612843E-5	5.698375362786343E-5	6.97656793477269E-6	1.0104826657977907E-6	8.575830234986417E-5	8.516143806964488E-4
4	3.6016820151190284E-7	0.0	0.050931791502969934	0.8486036286866395	0.07244207871205569	0.017025732741378287	0.0014408887296105755	0.003856028353249551	0.003381787864191802	0.0	0.0	1.2255992319576436E-4	9.97346293842277E-4	1.230549787853628E-4	0.0010747420458798226
5	0.0	0.005904827051229098	0.0	0.0059669181914633615	0.9651195710994905	0.011029648509367286	0.00181421679133013	0.008506688699728484	0.0011531190976450665	3.539253542054379E-6	6.595337237140224E-5	2.268217568792705E-5	1.695529745638654E-4	9.155624120887323E-5	1.5172654237205154E-4
6	0.0	0.0	0.0	0.00326869097819421	0.025902147227214338	0.911492520863563	0.05639522493696563	3.0370125143337133E-4	0.0	9.373178438720317E-6	1.746148044696466E-5	2.3335898326402266E-4	0.0022341355287033514	0.0	1.4338557177638202E-4
7	0.0	0.0	0.0	7.329139220469818E-4	0.011755749574194018	0.153129214627341	0.7550511228477672	0.00980160243202766	0.0020082609959638704	0.0	0.0	4.108818160171894E-4	0.06491976236266245	0.0018726453645715087	3.1784605740794054E-4
8	1.535058107313424E-4	0.1501299660810361	0.003224097256479893	7.841590700983261E-4	0.018419539010285133	2.8124652001034465E-4	0.003348287978773776	0.7160415103917261	0.030385413796924405	0.008621149439079856	6.042464718589874E-4	1.2698029500220481E-5	2.6650688296098407E-4	0.06599357702914042	0.0017340962313941082
9	0.0	0.0	0.003236355627149272	0.004704465508045876	0.01999082524895979	0.0	0.004870417113731429	0.2173639708274258	0.6275260216293767	0.1158381415620428	5.010126712992594E-5	0.0	0.0062074319853528655	2.1226923078543507E-4	0.0
10	2.513485025378419E-6	0.011581445464241362	2.3093024029885808E-4	6.120039267657932E-5	2.701241176611336E-4	0.0	0.0	0.04437745881398788	0.08115098403138454	0.6545056528212654	0.07681288233074397	3.252636262508287E-4	0.010980180541100728	0.10914733818373298	0.010554025951630438
11	0.0	0.013294367505290446	6.320421342076199E-4	1.1764845913760548E-4	0.0010202478853539594	9.371348668625122E-5	0.0	0.0035042162648302134	1.5902488576749734E-4	0.08595835472945072	0.7031600253934102	0.0790595592643944	0.004428944039228347	0.001457538357057091	0.10711431759518573
12	0.0	2.4006568701089942E-4	1.1233353889104315E-4	1.868073750470292E-4	3.081569656960662E-4	0.0014217408307325454	0.0023962039307943587	1.344996650755696E-4	0.0	7.79893282651482E-4	0.13042129412013675	0.7468312580478987	0.11026269997669959	0.0	0.006905046579365974
13	0.0	9.817114566360381E-5	0.0	0.00125319980375561	0.0022692359155319112	0.01287541426249637	0.12523631938244315	0.0015609809066407672	0.005085132406143828	0.01149956939175217	0.003304897880437935	0.06094065162584378	0.7692503747613928	0.003975067127261375	0.0026509853906365967
14	0.0	0.05257637481911044	6.016377570655774E-4	4.068796473227957E-5	0.0014740601274838493	0.0	0.0029556572258062058	0.3061371859853782	4.773222802312632E-4	0.09929565204194067	0.0	4.809460116512963E-5	0.0033632254785577287	0.5303244129673802	0.0027056887511483986
15	0.09076368715173926	0.15990548084938627	0.010577760378590349	0.0012376009168389279	0.0020166365518322006	0.0010491469319069422	7.936761977991543E-4	0.012049728750005996	0.0	0.015930353861133152	0.13899018949224426	0.005821807056682011	0.0035559940297766436	0.003393398422941227	0.5539145394091236
