15	10	E	-9223384.010276219	163
transitionprobs	9	15	0.0
transitionprobs	10	1	2.513485025378419E-6
transitionprobs	10	2	0.011581445464241362
transitionprobs	10	3	2.3093024029885808E-4
transitionprobs	10	4	6.120039267657932E-5
transitionprobs	10	5	2.701241176611336E-4
transitionprobs	10	6	0.0
transitionprobs	10	7	0.0
transitionprobs	10	8	0.04437745881398788
transitionprobs	10	9	0.08115098403138454
transitionprobs	10	10	0.6545056528212654
transitionprobs	10	11	0.07681288233074397
transitionprobs	10	12	3.252636262508287E-4
transitionprobs	10	13	0.010980180541100728
transitionprobs	10	14	0.10914733818373298
transitionprobs	10	15	0.010554025951630438
transitionprobs	11	1	0.0
transitionprobs	11	2	0.013294367505290446
transitionprobs	11	3	6.320421342076199E-4
transitionprobs	11	4	1.1764845913760548E-4
transitionprobs	11	5	0.0010202478853539594
transitionprobs	11	6	9.371348668625122E-5
transitionprobs	11	7	0.0
transitionprobs	11	8	0.0035042162648302134
transitionprobs	11	9	1.5902488576749734E-4
transitionprobs	11	10	0.08595835472945072
transitionprobs	11	11	0.7031600253934102
transitionprobs	11	12	0.0790595592643944
transitionprobs	11	13	0.004428944039228347
transitionprobs	11	14	0.001457538357057091
transitionprobs	11	15	0.10711431759518573
transitionprobs	12	1	0.0
transitionprobs	12	2	2.4006568701089942E-4
transitionprobs	12	3	1.1233353889104315E-4
transitionprobs	12	4	1.868073750470292E-4
transitionprobs	12	5	3.081569656960662E-4
transitionprobs	12	6	0.0014217408307325454
transitionprobs	12	7	0.0023962039307943587
transitionprobs	12	8	1.344996650755696E-4
transitionprobs	12	9	0.0
transitionprobs	12	10	7.79893282651482E-4
transitionprobs	12	11	0.13042129412013675
transitionprobs	12	12	0.7468312580478987
transitionprobs	12	13	0.11026269997669959
transitionprobs	12	14	0.0
transitionprobs	12	15	0.006905046579365974
transitionprobs	13	1	0.0
transitionprobs	13	2	9.817114566360381E-5
transitionprobs	13	3	0.0
transitionprobs	13	4	0.00125319980375561
transitionprobs	13	5	0.0022692359155319112
transitionprobs	13	6	0.01287541426249637
transitionprobs	13	7	0.12523631938244315
transitionprobs	13	8	0.0015609809066407672
transitionprobs	13	9	0.005085132406143828
transitionprobs	13	10	0.01149956939175217
transitionprobs	13	11	0.003304897880437935
transitionprobs	13	12	0.06094065162584378
transitionprobs	13	13	0.7692503747613928
transitionprobs	13	14	0.003975067127261375
transitionprobs	13	15	0.0026509853906365967
transitionprobs	14	1	0.0
transitionprobs	14	2	0.05257637481911044
transitionprobs	14	3	6.016377570655774E-4
